id,vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,dist_km,speed_km,banderazo,tarifa_dist,tarifa_tiempo,tarifa_min,costo_viaje_sin_min,costo_viaje_sobre_min,municipios_origen,municipios_destino
126,Taxi Libre,21/04/2017 06:57,21/04/2017 07:08,-99.19648531,19.40550317,-99.18839146,19.40231898,0.173611111,1482,236,1.482,8.53632,8.74,1.07,1.07,8.74,20.69451556,20.69451556,Miguel Hidalgo,Miguel Hidalgo
127,Taxi Libre,21/04/2017 08:09,21/04/2017 08:19,-99.03042997,19.59997926,-99.0229803,19.58116902,0.1575,2999,133,2.999,19.04126984,8.74,1.07,1.07,8.74,24.73816444,24.73816444,Ecatepec de Morelos,Ecatepec de Morelos
129,Radio Taxi,21/04/2017 08:32,21/04/2017 09:15,-99.0920517,19.43595538,-99.17261166,19.41187926,0.704722222,10161,19,10.161,14.41844698,27.6,1.84,1.84,27.6,103.1618489,103.1618489,Venustiano Carranza,CuauhtÈmoc
130,Taxi de Sitio,21/04/2017 09:01,21/04/2017 09:21,-99.17246709,19.41179697,-99.16235899,19.38144544,0.343888889,4034,677,4.034,11.73053312,13.1,1.3,1.3,13.1,53.63457778,53.63457778,CuauhtÈmoc,Benito Ju·rez
131,Radio Taxi,21/04/2017 09:15,21/04/2017 10:11,-99.17261156,19.41187846,-99.25072108,19.45071332,0.939166667,9830,5,9.83,10.46672582,27.6,1.84,1.84,27.6,100.1532444,100.1532444,CuauhtÈmoc,Naucalpan de Ju·rez
132,Taxi de Sitio,21/04/2017 10:26,21/04/2017 10:33,-99.17091381,19.41434523,-99.17101199,19.42180541,0.126111111,1351,202,1.351,10.71277533,13.1,1.3,1.3,13.1,25.96075556,25.96075556,CuauhtÈmoc,CuauhtÈmoc
133,Radio Taxi,21/04/2017 10:11,21/04/2017 10:37,-99.26453615,19.45629945,-99.17287485,19.41209437,0.42,12543,124,12.543,29.86428571,27.6,1.84,1.84,27.6,124.9867022,124.9867022,Naucalpan de Ju·rez,CuauhtÈmoc
134,Radio Taxi,21/04/2017 11:17,21/04/2017 11:35,-99.1723396,19.41115763,-99.16424522,19.39302402,0.294444444,2345,23,2.345,7.964150943,27.6,1.84,1.84,27.6,45.79964444,45.79964444,CuauhtÈmoc,Benito Ju·rez
135,Radio Taxi,22/04/2017 12:38,22/04/2017 01:20,-99.1431303,19.4345457,-99.12306422,19.3204115,0.692222222,13981,176,13.981,20.19727127,27.6,1.84,1.84,27.6,137.6966044,137.6966044,CuauhtÈmoc,Coyoac·n
137,Radio Taxi,22/04/2017 02:36,22/04/2017 02:44,-99.1644269,19.42420963,-99.17190218,19.41370664,0.142222222,1959,297,1.959,13.77421875,27.6,1.84,1.84,27.6,54.16224,54.16224,CuauhtÈmoc,CuauhtÈmoc
138,Taxi de Sitio,22/04/2017 04:05,22/04/2017 04:20,-99.21306238,19.39202958,-99.17248976,19.41181571,0.241388889,6397,136,6.397,26.50080552,13.1,1.3,1.3,13.1,50.29328889,50.29328889,¡Ålvaro ObregÛn,CuauhtÈmoc
139,UberBlack,22/04/2017 04:15,22/04/2017 04:30,-99.11420514,19.29221689,-99.06902044,19.29222958,0.240555556,9061,40,9.061,37.6669746,30,9.46,3.5,77,118.0503933,118.0503933,Tlalpan,Iztapalapa
140,Taxi de Sitio,22/04/2017 05:28,22/04/2017 05:41,-99.17249084,19.41179463,-99.20194053,19.37357551,0.217222222,7263,122,7.263,33.43580563,13.1,1.3,1.3,13.1,54.39204444,54.39204444,CuauhtÈmoc,¡Ålvaro ObregÛn
141,Radio Taxi,22/04/2017 05:42,22/04/2017 05:53,-99.20237099,19.3746944,-99.1724718,19.4117796,0.193611111,7035,65,7.035,36.33572453,27.6,1.84,1.84,27.6,82.03537778,82.03537778,¡Ålvaro ObregÛn,CuauhtÈmoc
142,Taxi de Sitio,22/04/2017 06:31,22/04/2017 06:35,-99.17241008,19.4118219,-99.1787761,19.40616258,0.07,1522,113,1.522,21.74285714,13.1,1.3,1.3,13.1,24.27884444,24.27884444,CuauhtÈmoc,CuauhtÈmoc
144,Taxi Libre,22/04/2017 08:26,22/04/2017 08:59,-99.14127068,19.30107066,-99.14012534,19.30235534,0.562222222,10072,648,10.072,17.91462451,8.74,1.07,1.07,8.74,67.25616,67.25616,Coyoac·n,Coyoac·n
145,Radio Taxi,21/04/2017 07:16,21/04/2017 07:19,-99.1783267,19.4288067,-99.18256119,19.42978341,0.056111111,691,21737,0.691,12.31485149,27.6,1.84,1.84,27.6,921.4875378,921.4875378,Miguel Hidalgo,Miguel Hidalgo
147,Taxi Libre,22/04/2017 09:42,22/04/2017 09:56,-99.17360391,19.33060415,-99.18463342,19.29125786,0.240277778,6772,272,6.772,28.18404624,8.74,1.07,1.07,8.74,44.19171556,44.19171556,Coyoac·n,Tlalpan
148,Taxi Libre,22/04/2017 11:07,22/04/2017 11:29,-99.19723558,19.40594651,-99.23072908,19.3699908,0.378333333,8474,268,8.474,22.39823789,8.74,1.07,1.07,8.74,51.38116444,51.38116444,Miguel Hidalgo,¡Ålvaro ObregÛn
149,Taxi Libre,22/04/2017 11:55,22/04/2017 12:39,-99.14129152,19.30314187,-99.10064002,19.31790768,0.736388889,8100,1465,8.1,10.99962278,8.74,1.07,1.07,8.74,78.24244444,78.24244444,Coyoac·n,Coyoac·n
